drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Trametinib,Palbociclib,PD_08,PD_06,SNUC1,1
Trametinib,Palbociclib,PD_08,PD_06,SNUC2B,0
Trametinib,Palbociclib,PD_08,PD_06,SNUC5,0
Trametinib,Palbociclib,PD_08,PD_06,SW1116,1
Trametinib,Palbociclib,PD_08,PD_06,SW1417,0
Trametinib,Palbociclib,PD_08,PD_06,SW1463,0
Trametinib,Palbociclib,PD_08,PD_06,SW48,1
Trametinib,Palbociclib,PD_08,PD_06,SW620,0
Trametinib,Palbociclib,PD_08,PD_06,SW626,0
Trametinib,Palbociclib,PD_08,PD_06,SW837,1
