drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
Everolimus,Ulixertinib,SW837,-9.669042334,PD_03,PD_11
Ipatasertib,Lapatinib,SW837,3.287889894,PD_01,PD_04
Ipatasertib,Neratinib,SW837,-2.344615632,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),SW837,0.10626552,PD_02,PD_06
PF 477736,Niraparib,SW837,-6.45390937,PD_02,PD_05
PF 477736,Olaparib,SW837,-5.855413282,PD_02,PD_05
PF 477736,Palbociclib,SW837,-10.46115418,PD_02,PD_08
PF 477736,PF-3644022,SW837,-3.509728081,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),SW837,-4.279128475,PD_02,PD_06
Prexasertib,Niraparib,SW837,-10.19769229,PD_02,PD_05
Prexasertib,Olaparib,SW837,-7.174023649,PD_02,PD_05
Prexasertib,Palbociclib,SW837,-13.44860704,PD_02,PD_08
Prexasertib,PF-3644022,SW837,-4.794874321,PD_02,PD_07
Torin 1,Capivasertib,SW837,-4.611241308,PD_03,PD_01
Torin 1,Ipatasertib,SW837,-3.972612625,PD_03,PD_01
Torin 1,Lapatinib,SW837,-4.793083216,PD_03,PD_04
Torin 1,Navitoclax,SW837,10.86444009,PD_03,PD_09
Torin 1,Neratinib,SW837,-6.727648895,PD_03,PD_04
