,drug_combination,cell_line,synergy
456,AZD-8055 + Capivasertib,SW620,2.210337888
457,AZD-8055 + Ipatasertib,SW620,-4.793498524
458,AZD-8055 + Lapatinib,SW620,-10.46598019
459,AZD-8055 + Navitoclax,SW620,5.716612568
460,AZD-8055 + Neratinib,SW620,-0.942739704
461,AZD-8055 + Obatoclax,SW620,-0.578742324
462,AZD-8055 + Palbociclib,SW620,0.686716074
463,AZD-8055 + Ulixertinib,SW620,4.971321198
464,Capivasertib + Lapatinib,SW620,1.971744588
465,Capivasertib + Neratinib,SW620,-5.07461875
466,Everolimus + Capivasertib,SW620,5.715075498
467,Everolimus + Ipatasertib,SW620,0.931724977
468,Everolimus + Lapatinib,SW620,-14.25409909
469,Everolimus + Navitoclax,SW620,2.027709935
470,Everolimus + Neratinib,SW620,-9.236232
471,Everolimus + Obatoclax,SW620,2.65104932
472,Everolimus + Palbociclib,SW620,0.414951528
473,Everolimus + Ulixertinib,SW620,4.201106767
474,Ipatasertib + Lapatinib,SW620,2.7275498
475,Ipatasertib + Neratinib,SW620,-13.81927941
476,PF-477736 + MK-1775,SW620,10.19638407
477,PF-477736 + Niraparib,SW620,12.05283837
478,PF-477736 + Olaparib,SW620,-4.715592754
479,PF-477736 + PF-3644022,SW620,-21.53330619
480,PF-477736 + Palbociclib,SW620,0.16554918
481,Prexasertib + MK-1775,SW620,16.78600606
482,Prexasertib + Niraparib,SW620,10.84192568
483,Prexasertib + Olaparib,SW620,-6.276146123
484,Prexasertib + PF-3644022,SW620,-15.44635798
485,Prexasertib + Palbociclib,SW620,-9.143599102
486,Torin 1 + Capivasertib,SW620,6.980714858
487,Torin 1 + Ipatasertib,SW620,-0.500862233
488,Torin 1 + Lapatinib,SW620,-14.03121221
489,Torin 1 + Navitoclax,SW620,2.164893253
490,Torin 1 + Neratinib,SW620,-8.303277491
491,Torin 1 + Obatoclax,SW620,1.451990904
492,Torin 1 + Palbociclib,SW620,-1.759152707
493,Torin 1 + Ulixertinib,SW620,-4.173807867
494,AZD-8055 + Capivasertib,SW837,10.41949605
495,AZD-8055 + Ipatasertib,SW837,10.70436546
496,AZD-8055 + Lapatinib,SW837,16.53929615
497,AZD-8055 + Navitoclax,SW837,27.28772275
498,AZD-8055 + Neratinib,SW837,12.46020885
499,AZD-8055 + Obatoclax,SW837,10.53341113
500,AZD-8055 + Palbociclib,SW837,0.262354444
501,AZD-8055 + Ulixertinib,SW837,5.664108703
502,Capivasertib + Lapatinib,SW837,17.79121924
503,Capivasertib + Neratinib,SW837,10.65231378
504,Everolimus + Capivasertib,SW837,4.432419864
505,Everolimus + Ipatasertib,SW837,2.81572331
506,Everolimus + Lapatinib,SW837,2.390166668
507,Everolimus + Navitoclax,SW837,19.27985961
